original_id,node_id
19,0
58,1
60,2
76,3
79,4
101,5
158,6
189,7
224,8
308,9
310,10
458,11
469,12
483,13
538,14
544,15
559,16
585,17
628,18
649,19
650,20
683,21
693,22
706,23
716,24
746,25
796,26
801,27
832,28
859,29
895,30
905,31
916,32
922,33
938,34
968,35
974,36
1000,37
1004,38
1017,39
1021,40
1022,41
1023,42
1050,43
1088,44
1093,45
1105,46
1136,47
1149,48
1197,49
1198,50
1210,51
1273,52
1291,53
1373,54
1392,55
1395,56
1396,57
1424,58
1435,59
1441,60
1480,61
1482,62
1483,63
1491,64
1556,65
1594,66
1605,67
1629,68
1664,69
1699,70
1752,71
1757,72
1765,73
1810,74
1821,75
1830,76
1838,77
1848,78
1852,79
1886,80
1888,81
1891,82
1919,83
1937,84
2079,85
2099,86
2134,87
2136,88
2143,89
2170,90
2187,91
2192,92
2221,93
2230,94
2257,95
2261,96
2271,97
2305,98
2308,99
2323,100
2352,101
2431,102
2504,103
2521,104
2522,105
2608,106
2614,107
2625,108
2796,109
2843,110
2850,111
2863,112
2867,113
2897,114
2914,115
2921,116
2930,117
2933,118
2978,119
2981,120
3063,121
3070,122
3072,123
3113,124
3126,125
3130,126
3131,127
3139,128
3158,129
3162,130
3168,131
3170,132
3172,133
3232,134
3234,135
3268,136
3272,137
3273,138
3291,139
3335,140
3349,141
3361,142
3363,143
3389,144
3413,145
3417,146
3427,147
3461,148
3464,149
3466,150
3467,151
3496,152
3503,153
3529,154
3532,155
3542,156
3554,157
3557,158
3558,159
3561,160
3568,161
3598,162
3641,163
3673,164
3719,165
3776,166
3784,167
3792,168
3804,169
3818,170
3860,171
3908,172
3912,173
3936,174
3952,175
3969,176
3977,177
3979,178
3984,179
3991,180
4020,181
4078,182
4157,183
4163,184
4168,185
4170,186
4213,187
4238,188
4241,189
4287,190
4289,191
4294,192
4296,193
4313,194
4321,195
4353,196
4362,197
4438,198
4487,199
4502,200
4536,201
4537,202
4595,203
4597,204
4598,205
4645,206
4651,207
4665,208
4671,209
4673,210
4698,211
4699,212
4705,213
4757,214
4766,215
4800,216
4817,217
4830,218
4856,219
4893,220
4917,221
4972,222
5002,223
5006,224
5007,225
5031,226
5048,227
5054,228
5125,229
5129,230
5142,231
5145,232
5249,233
5309,234
5362,235
5377,236
5382,237
5386,238
5417,239
5421,240
5425,241
5516,242
5525,243
5544,244
5548,245
5599,246
5626,247
5637,248
5638,249
5743,250
5792,251
5852,252
5867,253
5889,254
5895,255
5935,256
5994,257
6032,258
6053,259
6062,260
6067,261
6144,262
6150,263
6228,264
6298,265
6335,266
6352,267
6366,268
6455,269
6472,270
6474,271
6478,272
6479,273
6537,274
6577,275
6587,276
6596,277
6601,278
6630,279
6641,280
6658,281
6660,282
6677,283
6762,284
6763,285
6767,286
6771,287
6796,288
6810,289
6839,290
7000,291
7032,292
7057,293
7067,294
7098,295
7210,296
7227,297
7229,298
7236,299
7246,300
7272,301
7295,302
7311,303
7313,304
7352,305
7358,306
7429,307
7433,308
7436,309
7459,310
7481,311
7516,312
7519,313
7531,314
7556,315
7604,316
7607,317
7644,318
7661,319
7674,320
7678,321
7685,322
7722,323
7724,324
7737,325
7749,326
7768,327
7782,328
7789,329
7805,330
7810,331
7815,332
7831,333
7837,334
7841,335
7867,336
7871,337
7887,338
7891,339
7894,340
7922,341
7931,342
7933,343
7941,344
7949,345
7966,346
7970,347
7991,348
7999,349
8015,350
8031,351
8055,352
8066,353
8067,354
8071,355
8077,356
8089,357
8121,358
8163,359
8174,360
8213,361
8232,362
8246,363
8255,364
8350,365
8362,366
8413,367
8422,368
8433,369
8434,370
8463,371
8467,372
8514,373
8521,374
8541,375
8558,376
8580,377
8609,378
8611,379
8643,380
8646,381
8647,382
8651,383
8668,384
8789,385
8790,386
8810,387
8824,388
8844,389
8876,390
8885,391
8890,392
8893,393
8894,394
8898,395
8899,396
8934,397
8969,398
8999,399
9060,400
9093,401
9170,402
9205,403
9227,404
9250,405
9294,406
9313,407
9322,408
9325,409
9364,410
9370,411
9383,412
9423,413
9432,414
9602,415
9604,416
9610,417
9624,418
9698,419
9716,420
9754,421
9827,422
9855,423
9914,424
9957,425
9960,426
10042,427
10043,428
10088,429
10093,430
10101,431
10163,432
10181,433
10187,434
10195,435
10197,436
10213,437
10270,438
10301,439
10348,440
10372,441
10375,442
10390,443
10447,444
10487,445
10505,446
10544,447
10574,448
10586,449
10679,450
10711,451
10725,452
10761,453
10762,454
10857,455
10905,456
10932,457
10966,458
11059,459
11095,460
11107,461
11118,462
11123,463
11151,464
11170,465
11220,466
11235,467
11236,468
11300,469
11320,470
11337,471
11338,472
11359,473
11424,474
11430,475
11446,476
11450,477
11453,478
11534,479
11571,480
11638,481
11645,482
11712,483
11718,484
11733,485
11874,486
11875,487
11932,488
11936,489
11938,490
11951,491
11954,492
12020,493
12022,494
12043,495
12049,496
12056,497
12086,498
12134,499
12154,500
12159,501
12165,502
12170,503
12185,504
12198,505
12210,506
12241,507
12264,508
12289,509
12393,510
12418,511
12427,512
12434,513
12449,514
12475,515
12480,516
12490,517
12557,518
12582,519
12583,520
12601,521
12602,522
12603,523
12623,524
12708,525
12739,526
12763,527
12766,528
12768,529
12781,530
12789,531
12793,532
12815,533
12829,534
12854,535
12858,536
12889,537
12890,538
12924,539
12930,540
12967,541
12993,542
13001,543
13056,544
13100,545
13102,546
13136,547
13174,548
13208,549
13222,550
13283,551
13313,552
13337,553
13343,554
13381,555
13422,556
13467,557
13474,558
13538,559
13554,560
13579,561
13613,562
13615,563
13633,564
13648,565
13704,566
13717,567
13743,568
13808,569
13813,570
13817,571
13837,572
13847,573
13851,574
13941,575
13944,576
14051,577
14131,578
14152,579
14203,580
14209,581
14267,582
14274,583
14275,584
14280,585
14296,586
14302,587
14318,588
14326,589
14339,590
14389,591
14440,592
14455,593
14501,594
14689,595
14716,596
14744,597
14774,598
14784,599
14853,600
14930,601
14941,602
14942,603
15022,604
15026,605
15068,606
15075,607
15086,608
15101,609
15154,610
15165,611
15179,612
15208,613
15229,614
15236,615
15247,616
15251,617
15253,618
15268,619
15294,620
15304,621
15306,622
15326,623
15327,624
15333,625
15347,626
15369,627
15379,628
15385,629
15445,630
15531,631
15641,632
15662,633
15705,634
15719,635
15732,636
15739,637
15750,638
15758,639
15793,640
15836,641
15974,642
16017,643
16041,644
16050,645
16099,646
16168,647
16248,648
16315,649
16331,650
16355,651
16410,652
16412,653
16468,654
16476,655
16485,656
16489,657
16503,658
16545,659
16546,660
16571,661
16587,662
16687,663
16697,664
16717,665
16727,666
16772,667
16780,668
16791,669
16847,670
16876,671
16890,672
16935,673
16949,674
16952,675
16985,676
17055,677
17078,678
17116,679
17169,680
17215,681
17235,682
17256,683
17287,684
17302,685
17341,686
17437,687
17479,688
17484,689
17486,690
17526,691
17644,692
17650,693
17705,694
17711,695
17732,696
17751,697
17786,698
17824,699
17848,700
17904,701
17954,702
18005,703
18032,704
18048,705
18053,706
18077,707
18095,708
18166,709
18170,710
18255,711
18258,712
18260,713
18269,714
18283,715
18290,716
18307,717
18318,718
18319,719
18343,720
18359,721
18369,722
18392,723
18497,724
18503,725
18605,726
18608,727
18621,728
18651,729
18660,730
18673,731
18675,732
18703,733
18705,734
18721,735
18761,736
18786,737
18803,738
18810,739
18852,740
18910,741
18951,742
18986,743
18996,744
19007,745
19069,746
19082,747
19092,748
19113,749
19171,750
19172,751
19232,752
19255,753
19280,754
19281,755
19289,756
19292,757
19299,758
19310,759
19352,760
19353,761
19380,762
19385,763
19424,764
19430,765
19434,766
19438,767
19457,768
19459,769
19541,770
19614,771
19623,772
19672,773
19697,774
19720,775
19734,776
19793,777
19810,778
19812,779
19818,780
19822,781
19825,782
19833,783
19840,784
19865,785
20088,786
20109,787
20135,788
20192,789
20221,790
20232,791
20233,792
20235,793
20293,794
20324,795
20334,796
20346,797
20369,798
20372,799
20384,800
20410,801
20418,802
20419,803
20433,804
20531,805
20558,806
20563,807
20647,808
20664,809
20722,810
20849,811
20851,812
20903,813
20907,814
20925,815
20932,816
21000,817
21001,818
21003,819
21021,820
21042,821
21043,822
21074,823
21111,824
21135,825
21167,826
21220,827
21221,828
21261,829
21283,830
21346,831
21392,832
21430,833
21432,834
21508,835
21538,836
21556,837
21576,838
21615,839
21617,840
21618,841
21660,842
21661,843
21721,844
21751,845
21758,846
21770,847
21806,848
21826,849
21827,850
21828,851
21907,852
21965,853
21970,854
21971,855
21982,856
21984,857
21988,858
22048,859
22085,860
22120,861
22128,862
22137,863
22146,864
22179,865
22223,866
22234,867
22255,868
22260,869
22288,870
22292,871
22295,872
22318,873
22324,874
22415,875
22438,876
22468,877
22470,878
22562,879
22606,880
22614,881
22622,882
22687,883
22701,884
22761,885
22783,886
22813,887
22827,888
22829,889
22871,890
22917,891
22918,892
22932,893
22964,894
23031,895
23121,896
23122,897
23129,898
23156,899
23259,900
23284,901
23286,902
23304,903
23323,904
23361,905
23368,906
23398,907
23405,908
23427,909
23451,910
23468,911
23474,912
23564,913
23597,914
23651,915
23655,916
23718,917
23731,918
23733,919
23771,920
23853,921
23859,922
23879,923
23906,924
23988,925
24016,926
24020,927
24025,928
24029,929
24067,930
24080,931
24115,932
24120,933
24145,934
24153,935
24161,936
24167,937
24191,938
24208,939
24268,940
24271,941
24280,942
24305,943
24389,944
24392,945
24398,946
24399,947
24410,948
24424,949
24440,950
24467,951
24474,952
24479,953
24491,954
24521,955
24527,956
24555,957
24561,958
24569,959
24571,960
24581,961
24582,962
24587,963
24715,964
24775,965
24820,966
24830,967
24834,968
24862,969
24874,970
24889,971
24902,972
24926,973
24988,974
25015,975
25056,976
25065,977
25101,978
25156,979
25181,980
25184,981
25191,982
25214,983
25244,984
25248,985
25295,986
25298,987
25439,988
25510,989
25514,990
25662,991
25665,992
25671,993
25680,994
25711,995
25748,996
25797,997
25823,998
25841,999
25855,1000
25878,1001
25897,1002
25904,1003
25935,1004
25955,1005
25994,1006
26034,1007
26035,1008
26036,1009
26037,1010
26045,1011
26047,1012
26138,1013
26171,1014
26197,1015
26198,1016
26270,1017
26298,1018
26309,1019
26321,1020
26324,1021
26332,1022
26365,1023
26366,1024
26382,1025
26434,1026
26450,1027
26491,1028
26507,1029
26573,1030
26607,1031
26634,1032
26648,1033
26670,1034
26673,1035
26705,1036
26751,1037
26756,1038
26802,1039
26823,1040
26840,1041
26883,1042
27010,1043
27026,1044
27093,1045
27121,1046
27135,1047
27161,1048
27168,1049
27205,1050
27232,1051
27236,1052
27237,1053
27257,1054
27272,1055
27273,1056
27274,1057
27346,1058
27364,1059
27428,1060
27429,1061
27452,1062
27486,1063
27509,1064
27511,1065
27522,1066
27561,1067
27578,1068
27629,1069
27658,1070
27900,1071
27930,1072
27997,1073
28032,1074
28051,1075
28069,1076
28070,1077
28117,1078
28122,1079
28137,1080
28171,1081
28247,1082
28275,1083
28299,1084
28303,1085
28304,1086
28309,1087
28377,1088
28465,1089
28466,1090
28475,1091
28506,1092
28546,1093
28569,1094
28767,1095
28818,1096
29050,1097
29054,1098
29077,1099
29093,1100
29097,1101
29170,1102
29247,1103
29283,1104
29323,1105
29327,1106
29328,1107
29365,1108
29369,1109
29421,1110
29493,1111
29526,1112
29527,1113
29529,1114
29531,1115
29565,1116
29570,1117
29577,1118
29599,1119
29608,1120
29623,1121
29660,1122
29671,1123
29672,1124
29673,1125
29679,1126
29681,1127
29697,1128
29721,1129
29730,1130
29733,1131
29738,1132
29742,1133
29801,1134
29802,1135
29809,1136
29832,1137
29843,1138
29849,1139
29853,1140
29896,1141
29930,1142
29932,1143
29937,1144
29984,1145
30031,1146
30074,1147
30093,1148
30140,1149
30141,1150
30144,1151
30148,1152
30153,1153
30156,1154
30162,1155
30170,1156
30226,1157
30313,1158
30318,1159
30320,1160
30321,1161
30369,1162
30513,1163
30570,1164
30574,1165
30722,1166
30823,1167
30865,1168
30884,1169
30891,1170
30932,1171
31004,1172
31041,1173
31044,1174
31099,1175
31128,1176
31145,1177
31251,1178
31271,1179
31284,1180
31285,1181
31289,1182
31330,1183
31338,1184
31355,1185
31381,1186
31428,1187
31430,1188
31438,1189
31510,1190
31531,1191
31570,1192
31572,1193
31607,1194
31658,1195
31666,1196
31670,1197
31682,1198
31695,1199
31709,1200
31719,1201
31736,1202
31754,1203
31766,1204
31773,1205
31797,1206
31807,1207
31881,1208
31899,1209
31974,1210
31987,1211
31988,1212
32004,1213
32029,1214
32150,1215
32193,1216
32241,1217
32255,1218
32256,1219
32271,1220
32302,1221
32315,1222
32332,1223
32397,1224
32406,1225
32426,1226
32434,1227
32446,1228
32477,1229
32478,1230
32503,1231
32559,1232
32576,1233
32620,1234
32648,1235
32654,1236
32676,1237
32679,1238
32704,1239
32729,1240
32778,1241
32790,1242
32804,1243
32807,1244
32835,1245
32849,1246
32886,1247
32931,1248
32979,1249
32983,1250
33043,1251
33052,1252
33080,1253
33284,1254
33293,1255
33304,1256
33357,1257
33391,1258
33438,1259
33461,1260
33514,1261
33516,1262
33518,1263
33662,1264
33694,1265
33708,1266
33740,1267
33750,1268
33792,1269
33823,1270
33842,1271
33859,1272
33874,1273
33876,1274
33877,1275
33883,1276
33892,1277
33913,1278
33920,1279
33931,1280
33993,1281
33995,1282
34015,1283
34032,1284
34039,1285
34040,1286
34052,1287
34059,1288
34088,1289
34103,1290
34106,1291
34112,1292
34203,1293
34206,1294
34288,1295
34339,1296
34352,1297
34426,1298
34431,1299
34432,1300
34436,1301
34463,1302
34484,1303
34531,1304
34572,1305
34595,1306
34615,1307
34627,1308
34652,1309
34653,1310
34679,1311
34738,1312
34742,1313
34760,1314
34763,1315
34776,1316
34819,1317
34835,1318
34857,1319
34869,1320
34885,1321
34903,1322
34914,1323
34950,1324
35069,1325
35078,1326
35148,1327
35157,1328
35237,1329
35259,1330
35262,1331
35322,1332
35324,1333
35329,1334
35332,1335
35347,1336
35411,1337
35436,1338
35438,1339
35440,1340
35441,1341
35452,1342
35456,1343
35468,1344
35484,1345
35500,1346
35503,1347
35512,1348
35515,1349
35518,1350
35529,1351
35549,1352
35551,1353
35574,1354
35582,1355
35622,1356
35631,1357
35646,1358
35654,1359
35685,1360
35687,1361
35709,1362
35734,1363
35833,1364
35860,1365
35884,1366
35896,1367
35907,1368
35913,1369
35916,1370
35918,1371
36094,1372
36147,1373
36163,1374
36412,1375
36414,1376
36521,1377
36542,1378
36556,1379
36577,1380
36580,1381
36626,1382
36643,1383
36693,1384
36754,1385
36841,1386
36896,1387
36903,1388
36952,1389
36961,1390
36972,1391
37005,1392
37008,1393
37019,1394
37053,1395
37060,1396
37126,1397
37132,1398
37133,1399
37161,1400
37185,1401
37190,1402
37193,1403
37202,1404
37349,1405
37409,1406
37519,1407
37643,1408
37731,1409
37804,1410
37815,1411
37919,1412
37926,1413
37932,1414
37967,1415
38003,1416
38010,1417
38027,1418
38030,1419
38083,1420
38087,1421
38090,1422
38096,1423
38110,1424
38115,1425
38128,1426
38157,1427
38203,1428
38212,1429
38225,1430
38236,1431
38265,1432
38282,1433
38301,1434
38407,1435
38464,1436
38473,1437
38532,1438
38548,1439
38590,1440
38745,1441
38784,1442
38799,1443
38901,1444
39073,1445
39074,1446
39137,1447
