node_id,original_id,public,gender,age,region,completion_percentage
0,19,1,1,21,"zilinsky kraj, kysucke nove mesto",64
3,76,1,1,0,"zilinsky kraj, bytca",72
4,79,1,1,23,"zilinsky kraj, kysucke nove mesto",71
5,101,1,1,20,"zilinsky kraj, zilina",86
1,58,1,0,0,"zilinsky kraj, kysucke nove mesto",34
2,60,1,0,19,"zilinsky kraj, cadca",31
8,224,1,1,21,"banskobystricky kraj, brezno",72
7,189,1,1,0,"bratislavsky kraj, bratislava - okolie",21
6,158,1,0,0,"zilinsky kraj, cadca",79
9,308,1,0,20,"banskobystricky kraj, brezno",45
10,310,1,1,21,"banskobystricky kraj, brezno",71
11,458,1,0,0,"zilinsky kraj, kysucke nove mesto",78
13,483,1,0,0,"zilinsky kraj, kysucke nove mesto",76
12,469,1,0,20,"zilinsky kraj, zilina",52
14,538,1,0,0,"zilinsky kraj, kysucke nove mesto",45
15,544,1,0,0,"zilinsky kraj, zilina",72
16,559,1,0,18,"zilinsky kraj, zilina",69
19,649,0,0,0,"zilinsky kraj, zilina",60
20,650,1,0,20,"zilinsky kraj, zilina",38
22,693,1,0,19,"zilinsky kraj, turzovka",26
23,706,1,1,25,"zilinsky kraj, kysucke nove mesto",91
21,683,1,0,0,"zilinsky kraj, cadca",50
17,585,1,0,21,"zilinsky kraj, zilina",67
18,628,1,0,20,"zilinsky kraj, kysucke nove mesto",83
26,796,1,1,21,"nitriansky kraj, sahy",72
24,716,1,1,23,"zilinsky kraj, kysucke nove mesto",71
28,832,1,0,22,"zilinsky kraj, kysucke nove mesto",76
29,859,1,1,0,"zilinsky kraj, rajec",12
27,801,1,1,21,"zilinsky kraj, zilina",72
32,916,1,1,0,"zilinsky kraj, zilina",67
33,922,1,1,21,"zilinsky kraj, rajecke teplice",57
25,746,1,0,20,"zilinsky kraj, kysucke nove mesto",76
34,938,1,0,18,"zilinsky kraj, zilina",19
30,895,1,0,0,"zilinsky kraj, zilina",33
35,968,1,0,17,"zilinsky kraj, cadca",83
40,1021,1,1,22,"zahranicie, zahranicie - kanada",50
37,1000,1,0,16,"zahranicie, zahranicie - gb",22
41,1022,1,1,21,"zilinsky kraj, bytca",76
36,974,1,1,19,"zilinsky kraj, kysucke nove mesto",40
42,1023,1,1,0,"zilinsky kraj, bytca",62
31,905,1,0,0,"zilinsky kraj, zilina",29
38,1004,1,0,20,"zilinsky kraj, cadca",72
39,1017,1,0,19,"zahranicie, zahranicie - rakusko",86
44,1088,1,0,19,"zilinsky kraj, kysucke nove mesto",74
43,1050,1,0,19,"zilinsky kraj, kysucke nove mesto",31
46,1105,1,0,20,"trenciansky kraj, nove mesto nad vahom",81
45,1093,1,1,22,"zahranicie, zahranicie - ostatne",67
48,1149,1,1,20,"zilinsky kraj, kysucke nove mesto",81
51,1210,1,1,21,"zilinsky kraj, kysucke nove mesto",88
53,1291,0,0,0,"zilinsky kraj, zilina",29
47,1136,1,0,19,"zilinsky kraj, cadca",24
57,1396,1,1,0,"zilinsky kraj, kysucke nove mesto",53
54,1373,1,0,18,"zilinsky kraj, cadca",78
49,1197,1,1,22,"trenciansky kraj, novaky",50
50,1198,1,1,0,"zilinsky kraj, kysucke nove mesto",74
60,1441,1,1,18,"zilinsky kraj, kysucke nove mesto",36
55,1392,1,0,17,"zilinsky kraj, kysucke nove mesto",81
64,1491,1,1,21,"zilinsky kraj, zilina",67
52,1273,1,0,22,"zilinsky kraj, kysucke nove mesto",66
61,1480,1,1,20,"zilinsky kraj, martin",62
62,1482,1,1,0,"zilinsky kraj, bytca",12
63,1483,1,1,18,"zilinsky kraj, kysucke nove mesto",71
56,1395,1,0,23,"nitriansky kraj, nitra",74
59,1435,1,0,19,"zilinsky kraj, dolny kubin",86
66,1594,1,1,22,"zilinsky kraj, bytca",79
58,1424,0,1,0,"zilinsky kraj, cadca",33
70,1699,1,1,0,"zahranicie, zahranicie - gb",74
68,1629,1,0,16,"zilinsky kraj, kysucke nove mesto",24
65,1556,1,1,0,"zahranicie, zahranicie - usa",52
69,1664,1,0,19,"zilinsky kraj, kysucke nove mesto",47
71,1752,0,0,0,"zahranicie, zahranicie - ostatne",52
